Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size (Bytes)
2026-06-29 22:07:23,216.239.34.223,192.168.100.237,TCP,443,61548,797
2026-06-29 22:07:23,216.239.34.223,192.168.100.237,TCP,443,61548,81
2026-06-29 22:07:23,192.168.100.237,216.239.34.223,TCP,61548,443,54
2026-06-29 22:07:23,216.239.34.223,192.168.100.237,TCP,443,61548,81
2026-06-29 22:07:23,192.168.100.237,216.239.34.223,TCP,61548,443,66
2026-06-29 22:07:23,192.168.100.237,216.239.34.223,TCP,61546,443,54
2026-06-29 22:07:23,192.168.100.237,142.250.102.95,TCP,61547,443,54
2026-06-29 22:07:23,192.168.100.237,216.239.34.223,TCP,61548,443,54
2026-06-29 22:07:24,192.168.100.186,224.0.0.251,UDP,5353,5353,133
2026-06-29 22:07:24,192.168.100.237,13.107.246.68,TCP,61529,443,55
2026-06-29 22:07:24,13.107.246.68,192.168.100.237,TCP,443,61529,66
2026-06-29 22:07:25,216.239.34.223,192.168.100.237,TCP,443,61540,66
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,39848,1900,407
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,39848,1900,416
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,407
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,416
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,461
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,473
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,471
2026-06-29 22:07:26,192.168.100.237,4.213.25.240,TCP,61279,443,153
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,41949,1900,461
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,51984,1900,473
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,60964,1900,471
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,407
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,416
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,463
2026-06-29 22:07:26,4.213.25.240,192.168.100.237,TCP,443,61279,174
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,461
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,473
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,53759,1900,407
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,53759,1900,416
2026-06-29 22:07:26,192.168.100.237,4.213.25.240,TCP,61279,443,54
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,40436,5353,1442
2026-06-29 22:07:26,192.168.100.5,224.0.0.251,UDP,5353,5353,1442
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,53759,1900,463
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,48619,1900,461
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,36722,1900,473
2026-06-29 22:07:26,192.168.100.5,239.255.255.250,UDP,53773,1900,471
2026-06-29 22:07:26,192.168.100.5,192.168.100.255,UDP,42620,1900,471
2026-06-29 22:07:26,192.168.100.237,20.184.175.18,TCP,61280,443,169
2026-06-29 22:07:26,192.168.100.237,20.184.175.18,TCP,61280,443,1466
2026-06-29 22:07:26,192.168.100.237,20.184.175.18,TCP,61280,443,1466
2026-06-29 22:07:26,192.168.100.237,20.184.175.18,TCP,61280,443,359
2026-06-29 22:07:27,20.184.175.18,192.168.100.237,TCP,443,61280,60
2026-06-29 22:07:27,20.184.175.18,192.168.100.237,TCP,443,61280,154
2026-06-29 22:07:27,192.168.100.237,35.190.80.1,UDP,51121,443,1292
2026-06-29 22:07:27,192.168.100.237,35.190.80.1,UDP,51121,443,1292
2026-06-29 22:07:27,192.168.100.237,20.184.175.18,TCP,61280,443,54
2026-06-29 22:07:27,192.168.100.237,104.18.30.80,TCP,61424,443,55
2026-06-29 22:07:27,104.18.30.80,192.168.100.237,TCP,443,61424,66
2026-06-29 22:07:27,192.168.100.237,35.190.80.1,UDP,51121,443,1292
2026-06-29 22:07:27,192.168.100.237,35.190.80.1,TCP,61549,443,66
2026-06-29 22:07:27,20.184.175.18,192.168.100.237,TCP,443,61280,154
2026-06-29 22:07:27,192.168.100.237,20.184.175.18,TCP,61280,443,66
2026-06-29 22:07:27,192.168.100.237,172.64.155.209,TCP,61414,443,55
2026-06-29 22:07:27,172.64.155.209,192.168.100.237,TCP,443,61414,66
2026-06-29 22:07:27,192.168.100.237,35.190.80.1,TCP,61550,443,66
2026-06-29 22:07:28,192.168.100.237,35.190.80.1,UDP,51121,443,1292
2026-06-29 22:07:28,192.168.100.237,66.102.1.188,TCP,61270,5228,55
2026-06-29 22:07:28,66.102.1.188,192.168.100.237,TCP,5228,61270,66
2026-06-29 22:07:28,192.168.100.237,192.168.100.5,TCP,61289,8009,171
2026-06-29 22:07:28,192.168.100.5,192.168.100.237,TCP,8009,61289,171
2026-06-29 22:07:28,192.168.100.237,192.168.100.5,TCP,61289,8009,54
2026-06-29 22:07:28,192.168.100.237,35.190.80.1,TCP,61549,443,66
2026-06-29 22:07:28,192.168.100.237,35.190.80.1,TCP,61550,443,66
2026-06-29 22:07:29,192.168.100.237,35.190.80.1,UDP,51121,443,1292
2026-06-29 22:07:29,192.168.100.5,192.168.100.255,UDP,46193,5353,1442
2026-06-29 22:07:29,192.168.100.5,192.168.100.255,UDP,46193,5353,1442
2026-06-29 22:07:29,192.168.100.5,224.0.0.251,UDP,5353,5353,1442
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,7114
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,19822
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,2878
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,19822
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,7114
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,21234
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,192.168.100.237,2.20.114.62,TCP,62134,443,90
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,1466
2026-06-29 22:23:31,2.20.114.62,192.168.100.237,TCP,443,62134,4290
